n	int	float
367000	8443	50568
368000	8491	48692
369000	9161	51113
370000	8540	48786
371000	8677	50730
372000	8717	48906
373000	8875	47825
374000	8868	53118
375000	8808	57334
376000	8862	51970
377000	8873	48526
378000	8939	48428
379000	8929	52110
380000	8987	50394
381000	9025	48575
382000	9156	50507
383000	9136	50569
384000	9120	48640
385000	9116	59977
386000	9147	54683
387000	9165	58279
388000	9173	54593
389000	9189	56396
390000	9216	56436
391000	9227	58665
392000	9438	60145
393000	9412	59563
394000	9362	45436
395000	9376	53228
396000	9434	49378
397000	10864	52108
398000	9527	52772
399000	9693	54866
400000	9617	53378
401000	10042	56834
402000	9768	50909
403000	9670	59527
404000	9685	50941
405000	9792	53080
406000	9862	57281
407000	9867	59438
408000	9891	55694
409000	9925	59768
410000	9920	51369
411000	9944	57724
412000	10026	53567
413000	9991	55760
414000	10067	53747
415000	10202	56190
416000	10234	51992
417000	10279	60497
418000	10299	54160
419000	10293	58657
420000	10313	58944
421000	10320	56842
422000	10409	57735
423000	10383	60154
424000	10446	55536
425000	10478	60018
426000	10484	49098
427000	10498	62427
428000	10534	60211
429000	10560	60284
430000	10583	62411
431000	10632	60372
432000	10790	58223
433000	10753	62732
434000	10788	62823
435000	10767	60672
436000	10790	58449
437000	10858	58480
438000	10980	65231
439000	10978	63064
440000	11018	60810
441000	11110	63000
442000	11050	63061
443000	11086	60902
444000	11083	58807
445000	11105	63910
446000	11118	66385
447000	11217	63922
448000	11229	61639
449000	11314	71562
450000	11340	71597
451000	11424	69487
452000	11359	66650
453000	11369	66650
454000	11365	72039
455000	11416	69424
456000	11410	66919
457000	11448	68633
458000	11546	68698
459000	11671	63803
460000	11650	61568
461000	11802	61548
462000	11678	63921
463000	11693	61700
464000	11789	59617
465000	11810	64188
466000	11823	64212
467000	11847	61789
468000	11893	59843
469000	11905	61174
470000	11919	73746
471000	12071	76281
472000	12141	68978
473000	12153	73805
474000	12188	71331
475000	12207	78888
476000	12222	66801
477000	12282	69006
478000	12290	68940
479000	12308	71544
480000	12353	64157
481000	12519	74135
482000	12408	71805
483000	12480	76770
484000	12521	66877
485000	12563	69395
486000	12615	71977
487000	12653	74494
488000	12676	67433
489000	12706	72275
490000	12893	69737
491000	12758	82359
492000	12794	68922
493000	12849	71281
494000	12886	71419
495000	12967	73976
496000	12993	66277
497000	12992	73992
498000	13048	71452
499000	13101	76756
500000	13234	67909
501000	13120	69162
502000	13179	74402
503000	13205	77056
504000	13220	69319
505000	13279	74366
506000	13323	71839
507000	13475	79678
508000	13495	66730
509000	13541	74441
510000	13663	69616
511000	13523	72131
512000	13660	69525
513000	13583	84139
514000	13636	80085
515000	13659	86959
516000	13689	84266
517000	13712	79007
518000	13749	84301
519000	13820	84398
520000	14038	81789
521000	13910	81779
522000	13907	82241
523000	13964	89989
524000	14003	87340
525000	14001	67823
526000	14053	70530
527000	14051	70481
528000	14090	67921
529000	14117	79887
530000	14368	70599
531000	14229	73383
532000	14323	70635
533000	14354	65650
534000	14416	76285
535000	14401	76232
536000	14434	73611
537000	14471	73773
538000	14465	73974
539000	14614	83657
540000	14605	80640
541000	14631	71876
542000	14713	74917
543000	14770	74817
544000	14814	72060
545000	14980	78074
546000	14908	78049
547000	14898	80923
548000	14924	78132
549000	15099	72416
550000	14966	78367
551000	14960	78306
552000	15108	75661
553000	15134	75579
554000	15224	75566
555000	15258	93728
556000	15255	87638
557000	15382	90539
558000	15415	78700
559000	15592	81871
560000	15436	75878
561000	15447	84979
562000	15465	80897
